code|i94port_raw|i94port_state|i94port_bps|i94port_city
ADS|ADDISON AIRPORT- ADDISON, TX|TX|unknown|ADDISON AIRPORT- ADDISON
ADT|AMISTAD DAM, TX|TX|unknown|AMISTAD DAM
ANZ|ANZALDUAS, TX|TX|unknown|ANZALDUAS
AUS|AUSTIN, TX|TX|unknown|AUSTIN
BEA|BEAUMONT, TX|TX|unknown|BEAUMONT
BBP|BIG BEND PARK, TX (BPS)|TX|(BPS)|BIG BEND PARK
SCC|BP SPEC COORD. CTR, TX|TX|unknown|BP SPEC COORD. CTR
BTC|BP TACTICAL UNIT, TX|TX|unknown|BP TACTICAL UNIT
BOA|BRIDGE OF AMERICAS, TX|TX|unknown|BRIDGE OF AMERICAS
BRO|BROWNSVILLE, TX|TX|unknown|BROWNSVILLE
CRP|CORPUS CHRISTI, TX|TX|unknown|CORPUS CHRISTI
DAL|DALLAS, TX|TX|unknown|DALLAS
DLR|DEL RIO, TX|TX|unknown|DEL RIO
DNA|DONNA, TX|TX|unknown|DONNA
EGP|EAGLE PASS, TX|TX|unknown|EAGLE PASS
ELP|EL PASO, TX|TX|unknown|EL PASO
FAB|FABENS, TX|TX|unknown|FABENS
FAL|FALCON HEIGHTS, TX|TX|unknown|FALCON HEIGHTS
FTH|FORT HANCOCK, TX|TX|unknown|FORT HANCOCK
AFW|FORT WORTH ALLIANCE, TX|TX|unknown|FORT WORTH ALLIANCE
FPT|FREEPORT, TX|TX|unknown|FREEPORT
GAL|GALVESTON, TX|TX|unknown|GALVESTON
HLG|HARLINGEN, TX|TX|unknown|HARLINGEN
HID|HIDALGO, TX|TX|unknown|HIDALGO
HOU|HOUSTON, TX|TX|unknown|HOUSTON
SGR|HULL FIELD, SUGAR LAND ARPT, TX|TX|unknown|HULL FIELD, SUGAR LAND ARPT
LLB|JUAREZ-LINCOLN BRIDGE, TX|TX|unknown|JUAREZ-LINCOLN BRIDGE
LCB|LAREDO COLUMBIA BRIDGE, TX|TX|unknown|LAREDO COLUMBIA BRIDGE
LRN|LAREDO NORTH, TX|TX|unknown|LAREDO NORTH
LAR|LAREDO, TX|TX|unknown|LAREDO
LSE|LOS EBANOS, TX|TX|unknown|LOS EBANOS
IND|LOS INDIOS, TX|TX|unknown|LOS INDIOS
LOI|LOS INDIOS, TX|TX|unknown|LOS INDIOS
MRS|MARFA, TX (BPS)|TX|(BPS)|MARFA
MCA|MCALLEN, TX|TX|unknown|MCALLEN
MAF|ODESSA REGIONAL, TX|TX|unknown|ODESSA REGIONAL
PDN|PASO DEL NORTE,TX|unknown|unknown|PASO DEL NORTE,TX
PBB|PEACE BRIDGE, NY|NY|unknown|PEACE BRIDGE
PHR|PHARR, TX|TX|unknown|PHARR
PAR|PORT ARTHUR, TX|TX|unknown|PORT ARTHUR
ISB|PORT ISABEL, TX|TX|unknown|PORT ISABEL
POE|PORT OF EL PASO, TX|TX|unknown|PORT OF EL PASO
PRE|PRESIDIO, TX|TX|unknown|PRESIDIO
PGR|PROGRESO, TX|TX|unknown|PROGRESO
RIO|RIO GRANDE CITY, TX|TX|unknown|RIO GRANDE CITY
